,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_preiod,yr_mnth
0,2011-01-01,01_springer,2011,1,0,0,6,0,Clear,9.84,14.39,81.0,0.0,3,13,16,01_early morning,2011-01
1,2011-01-01,01_springer,2011,1,1,0,6,0,Clear,9.02,13.63,80.0,0.0,8,32,40,01_early morning,2011-01
2,2011-01-01,01_springer,2011,1,2,0,6,0,Clear,9.02,13.63,80.0,0.0,5,27,32,01_early morning,2011-01
3,2011-01-01,01_springer,2011,1,3,0,6,0,Clear,9.84,14.39,75.0,0.0,3,10,13,01_early morning,2011-01
4,2011-01-01,01_springer,2011,1,4,0,6,0,Clear,9.84,14.39,75.0,0.0,0,1,1,01_early morning,2011-01
5,2011-01-01,01_springer,2011,1,5,0,6,0,Mist,9.84,12.88,75.0,6.0,0,1,1,01_early morning,2011-01
6,2011-01-01,01_springer,2011,1,6,0,6,0,Clear,9.02,13.63,80.0,0.0,2,0,2,02_morning,2011-01
7,2011-01-01,01_springer,2011,1,7,0,6,0,Clear,8.2,12.88,86.0,0.0,1,2,3,02_morning,2011-01
8,2011-01-01,01_springer,2011,1,8,0,6,0,Clear,9.84,14.39,75.0,0.0,1,7,8,02_morning,2011-01
9,2011-01-01,01_springer,2011,1,9,0,6,0,Clear,13.12,17.42,76.0,0.0,8,6,14,02_morning,2011-01
10,2011-01-01,01_springer,2011,1,10,0,6,0,Clear,15.58,19.7,76.0,17.0,12,24,36,02_morning,2011-01
11,2011-01-01,01_springer,2011,1,11,0,6,0,Clear,14.76,16.66,81.0,19.0,26,30,56,02_morning,2011-01
12,2011-01-01,01_springer,2011,1,12,0,6,0,Clear,17.22,21.21,77.0,19.0,29,55,84,03_afternoon,2011-01
13,2011-01-01,01_springer,2011,1,13,0,6,0,Mist,18.86,22.73,72.0,20.0,47,47,94,03_afternoon,2011-01
14,2011-01-01,01_springer,2011,1,14,0,6,0,Mist,18.86,22.73,72.0,19.0,35,71,106,03_afternoon,2011-01
15,2011-01-01,01_springer,2011,1,15,0,6,0,Mist,18.04,21.97,77.0,20.0,40,70,110,03_afternoon,2011-01
16,2011-01-01,01_springer,2011,1,16,0,6,0,Mist,17.22,21.21,82.0,20.0,41,52,93,04_evening,2011-01
17,2011-01-01,01_springer,2011,1,17,0,6,0,Mist,18.04,21.97,82.0,19.0,15,52,67,04_evening,2011-01
